"V1" "V2" "V3"
"619" 600790 6743780 2618.746
"620" 602980 6743900 2443.026
"621" 601960 6742970 2170.312
"622" 602080 6744140 2355.244
"623" 602350 6742610 2103.047
"624" 600820 6743930 2536.299
"625" 601690 6744950 2521.343
"626" 601780 6743870 2319.608
"627" 601690 6743840 2318.495
"628" 601990 6743420 2242.697
"629" 601660 6745190 2535.744
"630" 602230 6744890 2453.834
"631" 602080 6745040 2478.199
"632" 601420 6745490 2556.911
"633" 600490 6744410 2782.943
"634" 601990 6744230 2387.618
"635" 600400 6744770 2742.179
"636" 601480 6745790 2635.345
"637" 602890 6744920 2685.397
"638" 600880 6744860 2661.898
"639" 601930 6744170 2385.824
"640" 602470 6743510 2254.775
"641" 602140 6742520 2072.043
"642" 601720 6745910 2799.053
"643" 602200 6742490 2074.371
"644" 601420 6745130 2555.142
"645" 601630 6745100 2535.412
"646" 601000 6743600 2626.24
"647" 602470 6743090 2188.968
"648" 602950 6744560 2621.709
"649" 600910 6744080 2485.609
"650" 602050 6742790 2132.796
"651" 602350 6743840 2295.783
"652" 602170 6744230 2362.271
"653" 601030 6745610 2604.965
"654" 601360 6745910 2636.836
"655" 601660 6744650 2464.086
"656" 602230 6743900 2308.795
"657" 602950 6745190 2805.754
"658" 600760 6744200 2538.745
"659" 602140 6742910 2153.177
"660" 602200 6742340 2042.652
"661" 601300 6745580 2576.062
"662" 601000 6745340 2603.498
"663" 601660 6744290 2416.915
"664" 601510 6743870 2348.364
"665" 601150 6743600 2546.518
"666" 600550 6744830 2716.101
"667" 601810 6744260 2408.773
"668" 600880 6744770 2682.365
"669" 600310 6744440 2822.413
"670" 601570 6743720 2317.177
"671" 601030 6745460 2592.457
"672" 600490 6744920 2722.785
"673" 600490 6744860 2724.277
"674" 601900 6744110 2377.558
"675" 602410 6743870 2303.445
"676" 602320 6744110 2342.708
"677" 602380 6743210 2213.976
"678" 602020 6743660 2270.953
"679" 601720 6743930 2333.204
"680" 601990 6744740 2468.214
"681" 600040 6744410 2905.343
"682" 601150 6745040 2577.567
"683" 601870 6745160 2518.843
"684" 602920 6745250 2827.784
"685" 601000 6743660 2584.639
"686" 601450 6745040 2550.007
"687" 602740 6745100 2707.894
"688" 601030 6743960 2447.577
"689" 601480 6745850 2652.553
"690" 601810 6745100 2519.186
"691" 601300 6744050 2394.454
"692" 602170 6742700 2109.451
"693" 601510 6744320 2431.405
"694" 603250 6744500 2603.924
"695" 602530 6743150 2202.287
"696" 602890 6745160 2778.671
"697" 602410 6744710 2421.39
"698" 602440 6744020 2322.923
"699" 600370 6744980 2736.884
"700" 600580 6744470 2766.469
"701" 603160 6745100 2764.953
"702" 601990 6744290 2404.067
"703" 601510 6744680 2478.208
"704" 603220 6744080 2499.451
"705" 601570 6744740 2490.49
"706" 601720 6744380 2429.91
"707" 602830 6743600 2327.401
"708" 603040 6744380 2563.038
"709" 601120 6743960 2426.423
"710" 601810 6743780 2302.315
"711" 602290 6745040 2479.854
"712" 603190 6745010 2731.824
"713" 603130 6744200 2526.055
"714" 602170 6744950 2458.298
"715" 602350 6743630 2274.121
"716" 601780 6744200 2400.957
"717" 600700 6745130 2656.548
"718" 602290 6742760 2117.338
"719" 601630 6744170 2401.006
"720" 602560 6743960 2307.542
"721" 601960 6744410 2424.861
"722" 602290 6744200 2365.723
"723" 601480 6746120 2687.883
"724" 602020 6744350 2409.349
"725" 600970 6744860 2655.93
"726" 601180 6745880 2629.382
"727" 602620 6744230 2351.575
"728" 602260 6743570 2268.678
"729" 601090 6745520 2586.011
"730" 602050 6743870 2294.286
"731" 601120 6744920 2603.894
"732" 602230 6743360 2235.755
"733" 602080 6744320 2394.023
"734" 601240 6743960 2405.35
"735" 600640 6744500 2748.448
"736" 601780 6743630 2283.929
"737" 600370 6744920 2736.187
"738" 601240 6745550 2576.884
"739" 601150 6745550 2582.535
"740" 601870 6743810 2307.041
"741" 601930 6745190 2519.073
"742" 601270 6745430 2572.88
"743" 602980 6743810 2417.034
"744" 600940 6745160 2633.901
"745" 601750 6743690 2291.051
"746" 600220 6745100 2771.91
"747" 600280 6744710 2770.958
"748" 602050 6744620 2444.277
"749" 601180 6745310 2567.213
"750" 600700 6743870 2640.182
"751" 601660 6744110 2383.821
"752" 602770 6743630 2312.511
"753" 601750 6745460 2551.028
"754" 600790 6743840 2592.17
"755" 600400 6744650 2771.672
"756" 600610 6745130 2669.709
"757" 600850 6744950 2662.092
"758" 601270 6743870 2403.585
"759" 602350 6743750 2289.95
"760" 603100 6744290 2542.307
"761" 601480 6744740 2495.192
"762" 601150 6745640 2591.62
"763" 600400 6744380 2808.337
"764" 599920 6744620 2942.111
"765" 601810 6744410 2434.013
"766" 600220 6744800 2770.893
"767" 602980 6744170 2505.418
"768" 601390 6743930 2371.799
"769" 602530 6744080 2326.364
"770" 601090 6745070 2602.339
"771" 601570 6745940 2698.257
"772" 601120 6745460 2579.529
"773" 601840 6743570 2272.637
"774" 601120 6745340 2574.138
"775" 602320 6742520 2081.471
"776" 602980 6744080 2477.7
"777" 601360 6745700 2597.849
"778" 600190 6745070 2787.292
"779" 601810 6743270 2243.842
"780" 602950 6744050 2471.992
"781" 602620 6744170 2342.798
"782" 603040 6744950 2717.396
"783" 602470 6743810 2289.367
"784" 600430 6745160 2686.624
